id,full_name,first_name,last_name,is_active,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PF_AST,PF_BLK,PF_DREB,PF_FG3A,PF_FG3M,PF_FG3_PCT,PF_FGA,PF_FGM,PF_FG_PCT,PF_FTA,PF_FTM,PF_FT_PCT,PF_GP,PF_GS,PF_MIN,PF_OREB,PF_PF,PF_PTS,PF_REB,PF_STL,PF_TOV,PTS,REB,STL,TOV
2306,Carlos Arroyo,Carlos,Arroyo,False,1761,26,755,405,137,0.338271604938,3269,1431,0.437748546956,956,771,0.806485355648,569,191,9906,210,874,65.0,2.0,21.0,5.0,0.0,0.0,98.0,38.0,0.38775510204,22.0,17.0,0.772727272727,34.0,5.0,361.0,7.0,38.0,93.0,28.0,8.0,17.0,3770,965,290,680
201589,Darrell Arthur,Darrell,Arthur,False,409,307,1221,458,161,0.351528384279,3110,1381,0.444051446945,469,359,0.765458422174,503,106,8944,547,1234,13.0,16.0,39.0,3.0,1.0,0.333333333333,138.0,64.0,0.463768115942,26.0,21.0,0.807692307692,28.0,0.0,375.0,28.0,66.0,150.0,67.0,9.0,19.0,3282,1768,309,422
76065,John Arthurs,John,Arthurs,False,17,,,,,,35,12,0.342857142857,15,11,0.733333333333,11,,86,,15,,,,,,,,,,,,,,,,,,,,,,35,14,,
1628503,Jamel Artis,Jamel,Artis,False,18,3,34,29,8,0.275862068965,79,31,0.392405063291,12,7,0.583333333333,15,1,279,4,11,,,,,,,,,,,,,,,,,,,,,,77,38,2,8
201600,Omer Asik,Omer,Asik,False,280,339,2326,1,0,0.0,1795,947,0.527576601671,1062,585,0.550847457627,471,262,9217,1036,928,22.0,32.0,132.0,0.0,0.0,0.0,109.0,53.0,0.48623853211,84.0,46.0,0.547619047619,37.0,17.0,725.0,72.0,96.0,152.0,204.0,14.0,43.0,2479,3362,167,542
355,Vincent Askew,Vincent,Askew,False,1017,106,776,253,76,0.300395256916,2534,1215,0.479479084451,1068,805,0.753745318352,467,27,9363,400,972,59.0,9.0,60.0,29.0,10.0,0.344827586206,191.0,76.0,0.397905759162,79.0,54.0,0.683544303797,50.0,0.0,707.0,36.0,95.0,216.0,96.0,21.0,42.0,3311,1176,304,503
173,Keith Askins,Keith,Askins,False,375,170,903,774,275,0.355297157622,1688,677,0.40106635071,311,223,0.717041800643,486,80,7978,525,1094,13.0,3.0,35.0,31.0,12.0,0.387096774193,57.0,21.0,0.368421052631,9.0,7.0,0.777777777777,27.0,0.0,333.0,22.0,56.0,61.0,57.0,9.0,11.0,1852,1428,278,321
76068,Don Asmonga,Don,Asmonga,False,5,,,,,,15,2,0.133333333333,1,1,1.0,7,,46,,12,,,,,,,,,,,,,,,,,,,,,,5,1,,
76069,Richard Atha,Richard,Atha,False,51,,,,,,135,53,0.392592592592,39,31,0.794871794871,43,,448,,63,,,,,,,,,,,,,,,,,,,,,,137,66,,
1088,Chucky Atkins,Chucky,Atkins,False,2396,36,992,2565,934,0.364132553606,6022,2479,0.411657256725,1258,971,0.771860095389,696,325,17301,194,1284,87.0,1.0,52.0,110.0,39.0,0.354545454545,286.0,107.0,0.374125874125,70.0,56.0,0.8,36.0,21.0,845.0,10.0,81.0,309.0,62.0,28.0,46.0,6863,1186,465,1018
